Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
15,WL-925 ,91.22,27,117,,-52.78,5,99.04,3Rlv1 + 1Llv2,50,-102.78,9.1,1/10/22,3R lv1 OK,YES,,,,E,0.3306451613,0.4615384615,0.6086956522,#DIV/0!,,E,41,18,14,0
15,WL-925 ,86,27,38,,21,4,98.11,2Clv1 + 1Elv2,50,-29,8.9,2/10/22,3E lv1 Fail,NO,,,,C,0.4680851064,0.3636363636,0.625,0,,C,44,8,5,0
16,WL-925 ,97.3,29,108,,-39.7,5,97.21,3Rlv1 + 1Elv2,50,-89.7,2.9,4/10/22,3R lv1 fail,NO,,,,R,0.2666666667,0.5670103093,0.6428571429,1,,R,16,55,72,3
14.8,WL-925 ,87.17,26,100,,-38.83,5,96.29,3Elv1 + 1Elv2,50,-88.83,3.02,5/10/22,3E lv1 Fail,NO,,,,L,0.2952380952,0.393442623,0.6538461538,1,,L,31,24,17,1
5.6,WEG-579,34,6,,,28,F,99.67,,100,-72,,6/10/22,3Rlv1 fail,NO,,,,,,,,,,,,,,
5.6,WEG-579,33.5,6,,,27.5,F,99.42,,,27.5,,7/10/22,3Rlv1 fail,NO,,,,,,,,,,,,,,
16.4,WL-925 ,97.82,29,103,,-34.18,5,95.31,3Clv1 + 1Llv2,,-34.18,12.2,8/10/22,3Rlv1 fail,NO,,,,,,,,,,Fails,,,,
14.6,WEG-579,116.3,15,,,101.3,F,98.55,,,101.3,,9/10/22,3Rlv1 fail,NO,,,,,,,,,,E,83,21,9,0
4.6,WEG-579,36.05,5,,,31.05,F,98.31,,,31.05,,10/10/22,3Rlv1 fail,NO,,,,,,,,,,C,50,14,3,1
15,WL-925,88.48,27,101,,-39.52,5,93.52,3Clv1 + 1Rlv2,,-39.52,6.6,11/10/22,3Rlv1 fail,NO,,,,,,,,,,R,44,42,40,0
