energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,JUGADOR,,Gem Stock,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,,,,MBS,Ganancia Bruta,Gst cost,Gst usd,Ganancia Total,Mes,
15,WL-925 ,91.22,27,117,,-52.78,5,99.04,3Rlv1 + 1Llv2,50,-102.78,9.1,1/10/22,3R lv1 OK,YES,,,,MORROS,,E,,,2,,1,,,,,,,,,50,795,14.31,35.69,AGOSTO,
15,WL-925 ,86,27,38,,21,4,98.11,2Clv1 + 1Elv2,50,-29,8.9,2/10/22,3E lv1 Fail,NO,,,,MORROS,,C,,,,,,,,,,,,,,82,795,14.31,67.69,SEPTIEMBRE,
16,WL-925 ,97.3,29,108,,-39.7,5,97.21,3Rlv1 + 1Elv2,50,-89.7,2.9,4/10/22,3R lv1 fail,NO,,,,MORROS,,R,,,,24,,1,,,,,,,,89.98,2069,37.242,52.738,OCTUBRE,
14.8,WL-925 ,87.17,26,100,,-38.83,5,96.29,3Elv1 + 1Elv2,50,-88.83,3.02,5/10/22,3E lv1 Fail,NO,,,,FACU,,L,,,2,,,,,,,,,,,125.5,3264,71.808,53.692,NOVIEMBRE,
5.6,WEG-579,34,6,,,28,F,99.67,,,28,,6/10/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,,,,,,,,121,3464,65.816,55.184,DICIEMBRE,
5.6,WEG-579,33.5,6,,,27.5,F,99.42,,,27.5,,7/10/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,Abril usdt,229.4,,,,,,106.2,2837,45.392,60.808,ENERO,
16.4,WL-925 ,97.82,29,103,,-34.18,5,95.31,3Clv1 + 1Llv2,,-34.18,12.2,8/10/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,Abril gst,-5009.59,,,,,,209.2,3348,70.308,138.892,FEBRERO,
14.6,WEG-579,116.3,15,,,101.3,F,98.55,,,101.3,,9/10/22,3Rlv1 fail,NO,,,,FACU,,USDT OCTUBRE GEMAS,,24.98,,Enero usdt,106.2,,abril gmt,276.4,,,,,,298.5,8493,178.353,120.147,MARZO,
4.6,WEG-579,36.05,5,,,31.05,F,98.31,,,31.05,,10/10/22,3Rlv1 fail,NO,,,,MORROS,,GST OCTUBRE,,-1369.33,,Enero gst,-27.65,,,,,,,,,227.4,5062,106.302,121.098,ABRIL,
15,WL-925,88.48,27,101,,-39.52,5,93.52,3Clv1 + 1Rlv2,,-39.52,6.6,11/10/22,3Rlv1 fail,NO,,,,MORROS,,GMT OCTUBRE,,26.07,,Enero gmt,26.3,,Mayo usdt,82.6,,,,,,82.6,2495,38.6725,43.9275,MAYO,
16.1,WL-925,98.73,29,105,,-35.27,5,92.47,3Rlv1 + 1Elv2,,-35.27,3,12/10/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,Mayo gst,92.08,,,,,,62.3,2451,29.412,32.888,JUNIO,
8.5,WEGMT-889,,12,,5.1,-12,F,99.62,,,-12,,13/10/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,Mayo gmt,163.7,,,,,,,,,,,
9.6,WEGMT-889,,14.8,,6.1,-14.8,F,99.24,,,-14.8,,14/10/22,3E lv1 Fail,NO,,,,MORROS,,USDT NOVIEMBRE GEMAS,,125.5,,Febrero usdt,209.2,,,,,,,,,,,,,,
20,WL-925,120,36,116,,-32,5,91.33,3Llv1 + 1Clv2,,-32,11.6,15/10/22,3E lv1 Fail,NO,,,,MORROS,,GST NOVIEMBRE,,-2872.41,,febrero gst,-21600.68,,Junio usdt,51.1,,,,,,,,,,,
6.3,WL-925,34,8,57,,-31,4,90.95,2Elv1,,-31,0.5,16/10/22,3E lv1 Fail,NO,,,,MORROS,,GMT NOVIEMBRE,,1.98,,febrero gmt,38.3,,Junio gst,-675.6,,,,,,,,,,,
6,WEGMT-889,,7,,3,-7,F,98.95,,,-7,,16/10/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,Junio gmt,58.47,,,,,,,,,,,
9,WEGMT-889,,13.3,,4.71,-13.3,F,98.61,,,-13.3,,17/10/22,3E lv1 Fail,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
7,WEG-579,64.9,7,,,57.9,F,97.81,,,57.9,,18/10/22,,YES,,,,MORROS,,,,,,Marzo usdt,298.5,,,,,,,,,,,,,,
12,WEG-579,87.1,11,,,76.1,F,97.12,,,76.1,,19/10/22,,YES,,,,MORROS,,USDT DICIEMBRE GEMAS,,121,,febrero gst,-7070.88,,,,,,,,,,,,,,
9,WL-925,52.36,16,45,,-8.64,4,90.42,2Llv1,,-8.64,0.6,20/10/22,3Elv1 ok,YES,,,,MORROS,,GST NOVIEMBRE,,-500.12,,febrero gmt,350.13,,,,,,,,,,,,,,
1.4,WEG-579,11.02,2,,,9.02,F,97.04,,,9.02,,20/10/22,3L lv1 Fail,NO,,,,MORROS,,GMT NOVIEMBRE,,34.5,,,,,,,,,,,,,,,,,
2,WEGMT-889,,3,,1.16,-3,F,98.48,,,-3,,20/10/22,3C lv1 Fail,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,UNC-WL-432,58.21,37.8,107,,-86.59,5,97.61,3Rlv1 + 1Clv2,,-86.59,9.1,21/10/22,3L lv1 Fail,YES,,,,MORROS,,,,,,,,Energias usadas,walkers,joggers,trainers,runners,,,,,,,,,
20,UNC-WL-432,55.2,37.8,289,,-271.6,6,95.11,6Llv1 + 2Rlv2 - SUNC,,-271.6,6.1,22/10/22,,,,,,MORROS,,,,,,,,5255.1,3678.1,927,438.4,180 ?,,,,,Success lv1,Success lv2,Success lv3,Success lv4,
3,WEG-579,20.86,1.8,,,19.06,F,96.92,,,19.06,,23/10/22,,,,,,MORROS,,,Drops MB,VECES SIN IMPORTAR BOX,,,,,,,,,,,,,0.3406593407,0.5048543689,0.6551724138,0.8,
4,WEGMT-889,,7.2,,2.65,-7.2,F,98.34,,,-7.2,,23/10/22,,,,,,MORROS,,,,,,,,sneakers,Energias Usadas,,users,horas,,,,Cantidades NO,116,51,50,1,
20,UNC-WL-432,60.5,37.8,265,,-242.3,6,93.22,6Rlv1 + 2Clv2,100,-342.3,8.2,24/10/22,3Rlv2 OK ,,YES,,,MORROS,,,Lv1,Lv2,Lv3,Lv4,,,,,4655.7,387.975,,,,Cantidades SI,58,52,95,4,
7,WEG-579,54.2,4.2,,,50,F,96.58,,,50,,25/10/22,,,,,,MORROS,,,37,35,5,,,UNCJG-ER-269,45.6,,29.4,2.45,,,,TOTAL UPS,174,103,145,5,
5.6,WEGMT-889,,8.4,,3.35,-8.4,F,98.14,,,-8.4,,25/10/22,,,,,,MORROS,,,35,30,3,,,,,,,,,,,GEMAS BURN,522,309,435,15,
17.4,UNC-WL-432,51.92,32,262,,-242.08,6,91.23,6Clv1 + 2Rlv2,100,-342.08,5.6,26/10/22,3Rlv2 Fail,,NO,,,MORROS,,,25,23,3,,,UNC-WEG-168,731.4,,WEGMT-889,162.7,Burned!,,,,,,,,
10.4,WEG-579,81,6.6,,,74.4,F,96.03,,50,24.4,,27/10/22,3C lv1 Fail,NO,,,,MORROS,,,21,17,1,,,RARE-WL-1041,887.7,,WEG-579,377,Burned!,,,,,,,,
17.6,UNC-WL-432,53.47,34.7,256,,-237.23,6,89.27,6Rlv1 + 2Rlv2,50,-287.23,2.56,28/10/22,3Rlv1 OK,YES,,,,MORROS,,,,,,,,WL-925,181.2,,UNC-WL-432,869.5,Sold!,,,,Gastos UP  LV4,Gastos UP  LV5,Gastos UP  LV6,,
15.8,WEG-579,136.32,10.8,,,125.52,F,95.09,,50,75.52,,29/10/22,3Rlv1 OK,YES,,,,MORROS,,Cantidades,Lv1,Lv2,Lv3,,,RAREMHTE-020,881.4,,,,,,,gst,1200,,,,
16,WEG-579,129.7,10.8,,,118.9,F,94.01,,50,68.9,,30/10/22,3Rlv1 Fail,NO,,,,MORROS,,,207,100,5,,,UNCO-WG-2524,33,,,,,,,gmt,800,,,,
11,WEG-579,84.94,6.6,,,78.34,F,93.64,,50,28.34,,31/10/22,3Rlv1 Fail,NO,,,,MORROS,,,169,72,3,,,C-T-946,404,,,,,,,,,,,,
17.4,UNC-WL-432,52.18,5.7,258,,-211.52,6,87.72,6Elv1 + 2Rlv2,50,-261.52,2.1,1/11/22,3Rlv1 Fail,NO,,,,MORROS,,,137,53,3,,,TEO -638,34.4,,,,,,,,,,,,
9,WEG-579,83.6,2.4,,,81.2,F,92.89,,100,-18.8,,2/11/22,3Rlv2 Fail,NO,NO,,,MORROS,,,101,56,1,,,,,,,,,,,,,,,,
18,UNC-WL-432,53.01,4.8,264,,-215.79,6,86.33,6Clv1 + 2Clv2,50,-265.79,18.3,3/11/22,3Clv1 OK,YES,,,,MORROS,,GMT N/fee sell,859.23,3470,911,,,,costo rainbow 1,costo rainbow 2,costo rainbow 3,costo rainbow 4,,,,Gmt Gemas,Gst Usado,Total GMT,USD,,
4,WEGMT-889,,6,,1.98,-6,F,98.02,,,-6,,3/11/22,3Elv1 fail,NO,,,,MORROS,,,,,,,,,average lv1,average lv2,average lv3,average lv4,,Rotas,AVG LV2,1551,5100,1821.3,801.372,,
20,UNC-WL-432,59.3,5.2,114,,-59.9,5,84.68,3Rlv1 + 1Elv2,,-59.9,2.9,5/11/22,3Elv1 fail,NO,,,,MORROS,,,,,,,,GMT,835.2,1781.9,6686,2765.9,,Success,AVG LV2,1077,5200,1352.6,595.144,,
4,WEG-579,27.6,1,,,26.6,F,92.54,,,26.6,,5/11/22,3Elv1 fail,NO,,,,MORROS,,Gst Historico,53817.08, BURNED,110642.26,,,USD Opetotal,459.36,980.045,2540.68,1051.042,,Perdida,,,,-468.7,-206.228,,
16,WEG-579,131,6.6,,,124.4,F,91.71,,50,74.4,,6/11/22,3Rlv1 Fail,NO,,,,MORROS,,Gmt Historico,1002.68, BURNED,4440,,,Gst usados UPS,8700,10300,29000,1500,,,,,,,,,
20,UNC-WL-432,60.6,5.78,107,,-52.18,5,82.92,3Llv1 + 1Elv2,50,-102.18,3.3,7/11/22,3Llv1 Fail,NO,,,,MORROS,,,,,,,,GST/USD,174,206,667,34.5,,,,,,,,,
12,WEG-579,88.7,4.5,,,84.2,F,91.16,,50,34.2,,8/11/22,3Llv1 Fail,NO,,,,MORROS,,,USDT TOTALES MB HIST DESC GST,,,,,Lost avg GMT,1481.806452,1821.3,6686,2765.9,,,,Gmt Gemas,Gst Usado,Total GMT,USD,,
18,WEG-579,143.8,5.4,,,138.4,F,90.14,,50,88.4,,9/11/22,3Llv1 Fail,NO,,,,MORROS,,,103.38,,,,,Lost avg USD,633.36,564.603,2072.66,1023.383,,Rotas,AVG LV3,6156,10000,6686,2941.84,,
16,WEG-579,125.9,6.6,,,119.3,F,89.37,,50,69.3,,10/11/22,3Rlv1 OK,YES,,,,MORROS,Mint Gmt,Mints gst,ARREGLOS,OPEN MBS,UPS GST,Enhanceds gst,Enhanceds gmt,,,,,,,Success,AVG LV3,11295,19000,12302,5412.88,,
20,UNC-WL-432,60.4,5.8,411,,-356.4,6,81.31,3Clv1 + 2Elv2,50,-406.4,8.8,11/11/22,3Llv1 OK,YES,,,,MORROS,2200,15800,4073.26,34509,49500,6760,840,,,mb,cajas obtenidas,,,Perdida,,,,5616,2471.04,,
8,WEG-579,54.6,2.2,,,52.4,F,88.79,,50,2.4,,12/11/22,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,4,28,,,,,,,,,,
20,UNC-WL-432,58.7,5.76,525,,-472.06,7,79.69,10Clv1 + 4Elv2,50,-522.06,19.1,13/11/22,3Elv1 Fail,NO,,,,MORROS,,,,,,,,,,5,45,,,Rotas,AVG LV4,1950,300,1965.9,727.383,,
20,UNC-WL-432,60.2,5.76,255,,-200.56,6,77.92,6Elv1 + 2Llv2 + 1Rlv3,50,-250.56,12.9,14/11/22,3Elv1 Fail,NO,,,,MORROS,,1 lv2 en mb6 :,,,,,,n de lv3 cajas 6,4,6,53,,,Success,AVG LV4,1980,1200,2043.6,756.132,,
20,UNC-WL-432,59.9,5.76,255,,-200.86,6,76.24,6Elv1 + 2Elv2,50,-250.86,6.1,15/11/22,3Clv1 fail,NO,,,,MORROS,,7,,,,,,n de lv3 cajas 7,0,7,8,,,Perdida,,,,77.7,28.749,,
12,WEG-579,90.1,4.5,,,85.6,F,88.53,,100,-14.4,,16/11/22,3Rlv2 fail,NO,NO,,,MORROS,,,,,,,,n de lv3 cajas 8,7,8,9,,,,,,,,,,
16,WEG-579,127.9,6.6,,,121.3,F,87.58,,50,71.3,,17/11/22,3Clv1 fail,NO,,,,MORROS,,lv3 en mb6,lv3 en mb7,lv3 en mb 8,lv4 en mb9,lv4 en mb10,,n de lv4 cajas 9,0,9,1,,,,,,,,,,
14,WEG-579,109,4.8,,,104.2,F,86.84,,100,4.2,,18/11/22,3Elv2 fail,,NO,,,MORROS,,7.55%,0,77.78%,0,,,n de lv4 cajas 10,0,10,0,,,,,,,,,,
8,WEG-579,77.6,5.2,,,72.4,F,86.41,,50,22.4,,19/11/22,3Clv1 OK,YES,,,,MORROS,,,,,,,,TOTAL MBS,,,144,,,,,,,,,,
20,UNC-WL-432,59.8,5.7,261,,-206.9,6,74.62,6Clv1 + 2Rlv2,100,-306.9,,20/11/22,3Llv2  fail,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16,UNC-WL-432,47.2,5,543,,-500.8,7,73.11,10Rlv1 + 3Clv2,100,-600.8,31,25/11/22,3Elv2  fail,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12,WEG-579,88.7,4.5,,,84.2,F,85.41,,50,34.2,,27/11/22,3Clv1 fail,NO,,,,MORROS,,,,,quemadas OK,,"Se creo en enero 2023, puede tener error por mal registros",,,,,valores gemas quemadas rotas historico,,,GMT,USD,,V Gemas,GMT,USD,
16,WEG-579,137.32,6.6,,,130.72,F,84.31,,50,80.72,,28/11/22,3Clv1 fail,NO,,,,MORROS,,,,,,,,,,,,GMT/USD,GMT,USD,contra inventario,contra inventario,,C,0,0,
14,WEG-579,108,4.8,,,103.2,F,83.21,,100,3.2,,29/11/22,3Clv1 OK,YES,,,,MORROS,,,upgrades,gemas l1,gemaslv2,gemas lv3,gemas lv4,,,,,C,4308,904.68,-4308,-904.68,,L,160,33.6,
20,UNC-WL-432,59.2,5.76,271,,-217.56,6,71.81,6Elv1 + 2Clv2,100,-317.56,21,30/11/22,3Elv1 fail,NO,,,,MORROS,,,E,17,11,12,0,,,,,L,1470.9,308.889,-1310.9,-275.289,,E,1530,321.3,
20,UNC-WL-432,60.1,5.76,258,,-203.66,6,70.33,6Rlv1 + 2Rlv2,100,-303.66,4.1,1/12/22,3Elv1 ok,YES,,,,MORROS,,,C,24,6,5,0,,,,,E,999,209.79,531,111.51,,R,5200,1092,
20,UNC-WL-432,58.7,5.76,276,,-223.06,6,68.33,6Llv1 + 2Clv2,50,-273.06,20,2/12/22,3Elv2 ok,,YES,,,MORROS,,,R,6,27,63,3,,,,,R,2919.3,613.053,2280.7,478.947,,TOTAL,6890,1446.9,
8,UNC-WEG-168,115,8,,,107,F,99.54,,100,7,,3/12/22,3Clv1 fail,NO,,,,MORROS,,,L,8,7,13,1,,,,,Total perdida,9697.2,2036.412,-2807.2,-589.512,,,,,
12.3,UNC-WEG-168,165,11.5,,,153.5,F,98.32,,100,53.5,,4/12/22,3Rlv2 fail,,NO,,,MORROS,,,gemas,lv quemadas ok,lv quemadas ok,lv quemadas ok,lv quemadas ok,,,,,,,,,,,,,,
10,UNC-WEG-168,150,9.79,,,140.21,F,97.52,,100,40.21,,5/12/22,3Elv2 fail,,NO,,,MORROS,,,E,51,33,36,0,,,,,,,,,,,rainbow obtenidas,UPS,Success,%
12,UNC-WEG-168,169.5,11.2,,,158.3,F,95.72,,250,-91.7,,6/12/22,3Elv1 fail,NO,,,,MORROS,,,C,72,18,15,0,,,,,,,,,,,lv1,174,0,0
21,UNC-WL-432,62,5.76,261,,-204.76,6,66.61,6Clv1 + 2Rlv2,50,-254.76,5.6,7/12/22,3Llv1 fail,NO,,,,MORROS,,,R,18,81,189,9,,,,,,,,,,,lv2,103,0,0
17,UNC-WL-432,51.8,5.7,257,,-210.9,6,65.22,6Rlv1 + 1Llv2,50,-260.9,4,8/12/22,3Rlv1 OK,YES,,,,MORROS,,,L,24,21,39,3,,,,,,,,,,,lv3,145,1,0.006896551724
10,UNC-WEG-168,153,9.79,,,143.21,F,95.18,,100,43.21,,9/12/22,3Rlv2 ok,NO,YES,,,MORROS,,,,,,,,,,,,,Perdida rainbow gan,,Periodo rec,,,lv4,5,0,0
22,UNC-WL-432,64.2,8.5,259,,-203.3,6,63.42,6Elv1 + 2Elv2,100,-303.3,6.2,10/12/22,3Rlv2 fail,NO,,,,MORROS,,,,,,,,,,,,USD,2124.549,,171.0586957,,,,,,
24,UNC-WL-432,67.1,9.5,270,,-212.4,6,61.82,6Clv1 + 2Rlv2,100,-312.4,5,11/12/22,3Rlv1 fail,NO,,,,MORROS,,,,,,,,,,,,GMT,7868.7,,,,,,,,
20,UNC-WEG-168,300,26,,,274,F,93.98,,50,224,,12/12/22,3Llv1 fail,NO,,,,MORROS,,,,,quemadas fail,,"Se creo en enero 2023, puede tener error por mal registros",,,,,,,,,,,,,,
20,UNC-WEG-168,300,26,,,274,F,92.78,,50,224,,13/12/22,3Llv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,gst ,0.023,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,92.28,,100,190.21,,14/12/22,3Llv2 fail,,NO,,,MORROS,,,upgrades,gemas l1,gemaslv2,gemas lv3,gemas lv4,,,,,,,gmt,0.44,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,91.71,,50,240.21,,15/12/22,3Clv1 fail,NO,,,,MORROS,,,E,33,12,6,0,,,,,,,,,,,,,,
10,UNC-WEG-168,300,9.79,,,290.21,F,91.01,,50,240.21,,16/12/22,3Clv1 fail,NO,,,,MORROS,,,C,35,13,3,1,,,,,,gmt,usd,,hechos/costo gmt,hechos/costo usd,,,,
4.5,UNC-WEG-168,139,4.5,,,134.5,F,90.61,,50,84.5,,17/12/22,3R lv1 fail,NO,,,,MORROS,,,R,16,17,34,0,,,,,valor rainbow shoe,74500,13410,,66445,10349.1,,,,
21,UNC-WL-432,143.47,8.5,265,,-130.03,6,60.02,6Llv1 + 2Elv2,50,-180.03,4.6,18/12/22,3R lv1 ok,YES,,,,MORROS,,,L,29,7,7,0,,,,,costo enhanced,520,197.6,,,,,,,
21,UNC-WL-432,143.47,8.5,283,,-148.03,6,58.27,6Rlv1 + 2Clv2,100,-248.03,14.5,19/12/22,3Elv2 Fail,,NO,,,MORROS,,,gemas,lv1 quemadas,lv2 quemadas,lv3 quemadas,lv4 quemadas,,,,,Resultante,370,140.6,,,,,,,
20,WEGMT-889,,30,,6,-30,F,97.72,,100,-130,,20/12/22,3R lv2 ok,,YES,,,MORROS,,,E,99,36,18,0,,,,,empatado enhanceds,143.2692308,,15,,,,,,
20,WEGMT-889,,30,,6,-30,F,97.32,,50,-80,,21/12/22,3Clv1 fail,NO,,,,MORROS,,,C,105,39,9,3,,,,,,,,,,,,,,
17,UNC-WL-432,102.2,5.7,275,,-178.5,6,55.65,6Rlv1 + 2Rlv2 ,50,-228.5,,22/12/22,3Clv1 fail,NO,,,,MORROS,,,R,48,51,102,0,,,,,,,,,,,,,,
